instance,n,root lb,root ub,root gap,root time,ub,lb,gap,time,nodes
in02_001.out,25,3583,3583,0.00,23.86,3583,3583,0.00,23.86,1
in02_002.out,25,3103,3103,0.00,34.07,3103,3103,0.00,34.07,1
in02_003.out,25,2941,2941,0.00,35.03,2941,2941,0.00,35.04,1
in02_004.out,25,2459,2459,0.00,14.59,2459,2459,0.00,14.59,1
in02_005.out,25,2885,2885,0.00,24.28,2885,2885,0.00,24.29,1
in02_006.out,25,2890,2890,0.00,15.27,2890,2890,0.00,15.27,1
in02_007.out,25,3019,3019,0.00,17.33,3019,3019,0.00,17.33,1
in02_008.out,25,2807,2812,0.18,42.17,2812,2812,0.00,49.04,3
in02_009.out,25,2832,2832,0.00,16.26,2832,2832,0.00,16.26,1
in02_010.out,25,3218,3218,0.00,32.86,3218,3218,0.00,32.87,1
in02_011.out,25,3035,3035,0.00,24.6,3035,3035,0.00,24.6,1
in02_012.out,25,2513,2513,0.00,13.72,2513,2513,0.00,13.72,1
in02_013.out,25,3170,3170,0.00,29.06,3170,3170,0.00,29.07,1
in02_014.out,25,2939,2939,0.00,38.77,2939,2939,0.00,38.78,1
in02_015.out,25,2643,2643,0.00,13.74,2643,2643,0.00,13.74,1
in02_016.out,25,3070,3070,0.00,18.29,3070,3070,0.00,18.3,1
in02_017.out,25,3547,3547,0.00,22.9,3547,3547,0.00,22.91,1
in02_018.out,25,2883,2883,0.00,27.1,2883,2883,0.00,27.11,1
in02_019.out,25,3260,3260,0.00,45.98,3260,3260,0.00,45.98,1
in02_020.out,25,2562,2562,0.00,23.09,2562,2562,0.00,23.09,1
in02_021.out,25,3044,3044,0.00,20.73,3044,3044,0.00,20.74,1
in02_022.out,25,2800,2800,0.00,27.06,2800,2800,0.00,27.07,1
in02_023.out,25,3285,3285,0.00,20.26,3285,3285,0.00,20.26,1
in02_024.out,25,2995,2995,0.00,25.5,2995,2995,0.00,25.5,1
in02_025.out,25,2445,2445,0.00,20.06,2445,2445,0.00,20.07,1
in02_026.out,25,2936,2936,0.00,23.89,2936,2936,0.00,23.89,1
in02_027.out,25,2603,2603,0.00,20.15,2603,2603,0.00,20.16,1
in02_028.out,25,2806,2806,0.00,13.37,2806,2806,0.00,13.37,1
in02_029.out,25,2725,2725,0.00,24.14,2725,2725,0.00,24.15,1
in02_030.out,25,2735,2735,0.00,15.2,2735,2735,0.00,15.21,1
in02_031.out,25,2861,2861,0.00,17.28,2861,2861,0.00,17.28,1
in02_032.out,25,2411,2411,0.00,27.6,2411,2411,0.00,27.61,1
in02_033.out,25,2972,2972,0.00,29.07,2972,2972,0.00,29.07,1
in02_034.out,25,2765,2765,0.00,26.88,2765,2765,0.00,26.88,1
in02_035.out,25,2560,2560,0.00,12.69,2560,2560,0.00,12.69,1
in02_036.out,25,3012,3012,0.00,44.25,3012,3012,0.00,44.25,1
in02_037.out,25,3015,3015,0.00,20.16,3015,3015,0.00,20.17,1
in02_038.out,25,2659,2659,0.00,25.43,2659,2659,0.00,25.44,1
in02_039.out,25,3237,3237,0.00,20.93,3237,3237,0.00,20.93,1
in02_040.out,25,2899,2899,0.00,26.32,2899,2899,0.00,26.32,1
in02_041.out,25,2798,2798,0.00,22.79,2798,2798,0.00,22.8,1
in02_042.out,25,2730,2730,0.00,17.08,2730,2730,0.00,17.08,1
in02_043.out,25,2841,2841,0.00,26.8,2841,2841,0.00,26.81,1
in02_044.out,25,3057,3057,0.00,18.05,3057,3057,0.00,18.06,1
in02_045.out,25,3019,3019,0.00,24.67,3019,3019,0.00,24.67,1
in02_046.out,25,2543,2543,0.00,24.21,2543,2543,0.00,24.21,1
in02_047.out,25,2402,2402,0.00,12.5,2402,2402,0.00,12.51,1
in02_048.out,25,2962,2962,0.00,21.07,2962,2962,0.00,21.07,1
in02_049.out,25,2252,2252,0.00,26.8,2252,2252,0.00,26.8,1
in02_050.out,25,2829,2829,0.00,26.43,2829,2829,0.00,26.44,1
in02_051.out,25,3421,3421,0.00,24.95,3421,3421,0.00,24.96,1
in02_052.out,25,3099,3099,0.00,14.3,3099,3099,0.00,14.3,1
in02_053.out,25,3019,3019,0.00,21.59,3019,3019,0.00,21.6,1
in02_054.out,25,2778,2778,0.00,18.76,2778,2778,0.00,18.76,1
in02_055.out,25,3345,3345,0.00,26.06,3345,3345,0.00,26.06,1
in02_056.out,25,3016,3016,0.00,19.27,3016,3016,0.00,19.28,1
in02_057.out,25,3105,3105,0.00,15.11,3105,3105,0.00,15.11,1
in02_058.out,25,2553,2553,0.00,24.95,2553,2553,0.00,24.96,1
in02_059.out,25,2917,2917,0.00,15.32,2917,2917,0.00,15.33,1
in02_060.out,25,3284,3284,0.00,52.86,3284,3284,0.00,52.86,1
in02_061.out,50,5357,5357,0.00,312.61,5357,5357,0.00,312.62,1
in02_062.out,50,5426,5426,0.00,385.91,5426,5426,0.00,385.91,1
in02_063.out,50,5221,5221,0.00,463.68,5221,5221,0.00,463.69,1
in02_064.out,50,5356,5359,0.06,643.46,5359,5359,0.00,1014.17,3
in02_065.out,50,5160,5160,0.00,398.63,5160,5160,0.00,398.64,1
in02_066.out,50,5369,5369,0.00,467.47,5369,5369,0.00,467.48,1
