instance,best c_max,avg c_max,avg time
in02_001.dat,3583,3583,0.63
in02_002.dat,3103,3103.2,0.65
in02_003.dat,2941,2941.8,0.67
in02_004.dat,2459,2459,0.64
in02_005.dat,2885,2885,0.63
in02_006.dat,2890,2890,0.64
in02_007.dat,3019,3019,0.64
in02_008.dat,2812,2816.1,0.7
in02_009.dat,2832,2832,0.62
in02_010.dat,3218,3218,0.67
in02_011.dat,3035,3035,0.62
in02_012.dat,2513,2513,0.66
in02_013.dat,3170,3170,0.66
in02_014.dat,2939,2939.7,0.68
in02_015.dat,2643,2643,0.62
in02_016.dat,3070,3070.5,0.63
in02_017.dat,3547,3547,0.62
in02_018.dat,2883,2883,0.62
in02_019.dat,3260,3261,0.66
in02_020.dat,2562,2562,0.64
in02_021.dat,3044,3044,0.64
in02_022.dat,2800,2800,0.62
in02_023.dat,3285,3285,0.64
in02_024.dat,2995,2995,0.68
in02_025.dat,2445,2445,0.66
in02_026.dat,2936,2936.4,0.65
in02_027.dat,2603,2603,0.63
in02_028.dat,2806,2806,0.61
in02_029.dat,2725,2725,0.63
in02_030.dat,2735,2735,0.61
in02_031.dat,2861,2861,0.62
in02_032.dat,2411,2411.4,0.61
in02_033.dat,2972,2972,0.67
in02_034.dat,2765,2765,0.65
in02_035.dat,2560,2563.2,0.65
in02_036.dat,3012,3012.4,0.65
in02_037.dat,3015,3015,0.61
in02_038.dat,2659,2659,0.64
in02_039.dat,3237,3237,0.66
in02_040.dat,2899,2900.2,0.64
in02_041.dat,2798,2798,0.62
in02_042.dat,2730,2730,0.64
in02_043.dat,2841,2842,0.66
in02_044.dat,3057,3057,0.62
in02_045.dat,3019,3022.2,0.65
in02_046.dat,2543,2543,0.62
in02_047.dat,2402,2402,0.62
in02_048.dat,2962,2962.8,0.64
in02_049.dat,2252,2254.4,0.63
in02_050.dat,2831,2832.6,0.62
in02_051.dat,3421,3421,0.62
in02_052.dat,3099,3099,0.61
in02_053.dat,3019,3019,0.67
in02_054.dat,2778,2778,0.65
in02_055.dat,3345,3345,0.64
in02_056.dat,3016,3016,0.7
in02_057.dat,3105,3105,0.62
